run_id,condition_key,group,label,state,created_at,max_step,best_train_bpb,last_train_bpb,final_val_bpb_exact,final_quant_bpb,total_submission_bytes,total_submission_mb,limit_status,over_budget,quant_method,quant_bytes,raw_model_bytes,delta_vs_baseline,n_val_pts,baseline_bpb,log_raw_model_bytes_all,log_serialized_quant_all,log_total_submission_all,log_limit_status_all,log_final_exact_all,log_final_fast_all,log_peak_mem_all,quant_payload_bytes,quant_raw_torch_bytes,quant_ratio,total_submission_method,final_method,final_val_loss_exact,final_eval_time_ms,peak_alloc_mib,peak_reserved_mib,summary.final/val_bpb,summary.final/val_loss,summary.quant_bits,summary.step,summary.train/loss,summary.val/bpb,summary.val/loss,cfg.seed,cfg.embed_lr,cfg.mlp_mult,cfg.n_params,cfg.matrix_lr,cfg.model_dim,cfg.num_heads,cfg.iterations,cfg.num_layers,cfg.quant_bits,cfg.vocab_size,cfg.qat_enabled,cfg.num_kv_heads,cfg.late_qat_frac,cfg.train_batch_tokens,summary.pos_enc,cfg.pos_enc,cfg.rope_dims,limit_bytes,summary.optimizer_type,cfg.adamw_lr,cfg.adamw_wd,cfg.adafactor_lr,cfg.optimizer_type,cfg.param_rank,cfg.param_seed,cfg.param_style,cfg.param_groups,summary.param_style,cfg.sliding_eval_stride
mqa_12L_mlp2_int8_20k,mqa_12L_mlp2_int8,O9_attn,MQA + 12L + MLP=2 + INT8,finished,2026-04-24T02:52:47Z,20000,1.190890546611446,1.190890546611446,1.19796092,1.1979609235106936,19559513.0,19.559513,OVER,True,,,79847158.0,-0.026439076489306323,41,1.2244,[79847158],[],"[{""method"": ""int8_ptq+zlib"", ""bytes"": 19559513}]","[{""limit_bytes"": 16000000, ""status"": ""OVER""}]","[{""method"": ""int8_ptq_zlib"", ""val_loss"": 2.02270684, ""val_bpb"": 1.19796092}]","[{""method"": ""int8_ptq_zlib"", ""val_loss"": 2.0227, ""val_bpb"": 1.198, ""eval_time_ms"": 31279}]","[{""allocated_mib"": 12597, ""reserved_mib"": 12838}]",,,,int8_ptq+zlib,int8_ptq_zlib,2.02270684,31279.0,12597.0,12838.0,1.1979609235106936,2.022706838804166,8.0,20000,2.0275163650512695,1.190890546611446,2.0107688035758384,1337,0.6,2,20212832,0.04,512,8,20000,12,8.0,1024,True,1,0.1,524288,,partial,32.0,16000000.0,,,,,,128.0,20260418.0,dense,4.0,dense,0.0
o1_int6_20k,o1_int6,O1_quant,INT6 QAT+PTQ,finished,2026-04-18T23:55:09Z,20000,1.2083173976316872,1.2083173976316872,1.34889946,1.3488994569605177,11986207.0,11.986207,,,int6_qat+zlib,11937828.0,,0.12449945696051778,41,1.2244,[],"[{""method"": ""int6_qat+zlib"", ""bytes"": 11937828, ""payload"": 17178912, ""raw_torch"": 17223564, ""ratio"": 3.91}]","[{""method"": ""int6_qat+zlib"", ""bytes"": 11986207}]",[],"[{""method"": ""int6_qat_zlib"", ""val_loss"": 2.27756023, ""val_bpb"": 1.34889946}]","[{""method"": ""int6_qat_zlib"", ""val_loss"": 2.2776, ""val_bpb"": 1.3489, ""eval_time_ms"": 24991}]","[{""allocated_mib"": 10286, ""reserved_mib"": 10360}]",17178912.0,17223564.0,3.91,int6_qat+zlib,int6_qat_zlib,2.27756023,24991.0,10286.0,10360.0,1.3488994569605175,2.2775602299759905,6.0,20000,2.058283567428589,1.2083173976316872,2.0401933115423945,1337,0.6,2,17059912,0.04,512,8,20000,9,6.0,1024,True,4,0.1,524288,,,,,,,,,,,,,,,
o1_int6_s1337,o1_int6,O1_quant,INT6 QAT+PTQ,finished,2026-04-16T19:07:33Z,5000,1.2512172412837004,1.2512172412837004,1.32059328,1.3205932803842098,11953184.0,11.953184,,,int6_qat+zlib,11904805.0,,0.09619328038420982,11,1.2244,[],"[{""method"": ""int6_qat+zlib"", ""bytes"": 11904805, ""payload"": 17178912, ""raw_torch"": 17223961, ""ratio"": 3.91}]","[{""method"": ""int6_qat+zlib"", ""bytes"": 11953184}]",[],"[{""method"": ""int6_qat_zlib"", ""val_loss"": 2.22976644, ""val_bpb"": 1.32059328}]","[{""method"": ""int6_qat_zlib"", ""val_loss"": 2.2298, ""val_bpb"": 1.3206, ""eval_time_ms"": 24279}]","[{""allocated_mib"": 10221, ""reserved_mib"": 10510}]",17178912.0,17223961.0,3.91,int6_qat+zlib,int6_qat_zlib,2.22976644,24279.0,10221.0,10510.0,1.3205932803842098,2.229766436524442,6.0,5000,2.1870031356811523,1.2512172412837004,2.1126279005474022,1337,0.6,2,17059912,0.04,512,8,5000,9,6.0,1024,True,4,0.1,524288,,,,,,,,,,,,,,,
o1_int8_20k,o1_int8,O1_quant,INT8 PTQ (baseline),finished,2026-04-18T19:36:59Z,20000,1.2082296986804528,1.2082296986804528,1.21605418,1.216054175124818,15870387.0,15.870387,,,int8_ptq+zlib,15822008.0,,-0.008345824875181984,41,1.2244,[],"[{""method"": ""int8_ptq+zlib"", ""bytes"": 15822008, ""payload"": 17178912, ""raw_torch"": 17223564, ""ratio"": 3.91}]","[{""method"": ""int8_ptq+zlib"", ""bytes"": 15870387}]",[],"[{""method"": ""int8_ptq_zlib"", ""val_loss"": 2.05325654, ""val_bpb"": 1.21605418}]","[{""method"": ""int8_ptq_zlib"", ""val_loss"": 2.0533, ""val_bpb"": 1.2161, ""eval_time_ms"": 25051}]","[{""allocated_mib"": 10312, ""reserved_mib"": 10500}]",17178912.0,17223564.0,3.91,int8_ptq+zlib,int8_ptq_zlib,2.05325654,25051.0,10312.0,10500.0,1.216054175124818,2.0532565362591075,8.0,20000,2.057284355163574,1.2082296986804528,2.0400452355367946,1337,0.6,2,17059912,0.04,512,8,20000,9,8.0,1024,True,4,0.1,524288,,,,,,,,,,,,,,,
o1_int8_20k_v2,o1_int8,O1_quant,INT8 PTQ (baseline),finished,2026-05-02T18:10:40Z,20000,1.208175305773406,1.208175305773406,1.21650948,1.2165094819474498,15873391.0,15.873391,,,int8_ptq+zlib,15825012.0,,-0.007890518052550144,41,1.2244,[],"[{""method"": ""int8_ptq+zlib"", ""bytes"": 15825012, ""payload"": 17178912, ""raw_torch"": 17223564, ""ratio"": 3.91}]","[{""method"": ""int8_ptq+zlib"", ""bytes"": 15873391}]",[],"[{""method"": ""int8_ptq_zlib"", ""val_loss"": 2.0540253, ""val_bpb"": 1.21650948}]","[{""method"": ""int8_ptq_zlib"", ""val_loss"": 2.054, ""val_bpb"": 1.2165, ""eval_time_ms"": 24722}]","[{""allocated_mib"": 10312, ""reserved_mib"": 10500}]",17178912.0,17223564.0,3.91,int8_ptq+zlib,int8_ptq_zlib,2.0540253,24722.0,10312.0,10500.0,1.2165094819474498,2.054025302757094,8.0,20000,2.057594060897827,1.208175305773406,2.0399533953916724,1337,0.6,2,17059912,0.04,512,8,20000,9,8.0,1024,True,4,0.1,524288,,,,,,,,,,,,,,,
o1_int8_s123_20k,o1_int8,O1_quant,INT8 PTQ (baseline),finished,2026-04-28T03:16:45Z,20000,1.2110102867607344,1.2110102867607344,1.2195474,1.2195474000661144,15873271.0,15.873271,,,int8_ptq+zlib,15824892.0,,-0.0048525999338855375,41,1.2244,[],"[{""method"": ""int8_ptq+zlib"", ""bytes"": 15824892, ""payload"": 17178912, ""raw_torch"": 17223564, ""ratio"": 3.91}]","[{""method"": ""int8_ptq+zlib"", ""bytes"": 15873271}]",[],"[{""method"": ""int8_ptq_zlib"", ""val_loss"": 2.0591547, ""val_bpb"": 1.2195474}]","[{""method"": ""int8_ptq_zlib"", ""val_loss"": 2.0592, ""val_bpb"": 1.2195, ""eval_time_ms"": 24816}]","[{""allocated_mib"": 10286, ""reserved_mib"": 10552}]",17178912.0,17223564.0,3.91,int8_ptq+zlib,int8_ptq_zlib,2.0591547,24816.0,10286.0,10552.0,1.2195474000661144,2.059154700247241,8.0,20000,2.061483383178711,1.2110102867607344,2.0447401420362494,123,0.6,2,17059912,0.04,512,8,20000,9,8.0,1024,True,4,0.1,524288,,,,,,,,,,,,,,,
o1_int8_s1337,o1_int8,O1_quant,INT8 PTQ (baseline),finished,2026-04-16T13:34:43Z,5000,1.2544689352369862,1.2544689352369862,1.25863803,1.258638034458887,15851587.0,15.851587,,,int8_ptq+zlib,15803208.0,,0.03423803445888707,11,1.2244,[],"[{""method"": ""int8_ptq+zlib"", ""bytes"": 15803208, ""payload"": 17178912, ""raw_torch"": 17224025, ""ratio"": 3.91}]","[{""method"": ""int8_ptq+zlib"", ""bytes"": 15851587}]",[],"[{""method"": ""int8_ptq_zlib"", ""val_loss"": 2.1251576, ""val_bpb"": 1.25863803}]","[{""method"": ""int8_ptq_zlib"", ""val_loss"": 2.1252, ""val_bpb"": 1.2586, ""eval_time_ms"": 24271}]","[{""allocated_mib"": 10221, ""reserved_mib"": 10510}]",17178912.0,17224025.0,3.91,int8_ptq+zlib,int8_ptq_zlib,2.1251576,24271.0,10221.0,10510.0,1.258638034458887,2.1251575989793117,8.0,5000,2.1919264793395996,1.2544689352369862,2.118118249579601,1337,0.6,2,17059912,0.04,512,8,5000,9,8.0,1024,True,4,0.1,524288,,,,,,,,,,,,,,,
o1_int8_s42_20k,o1_int8,O1_quant,INT8 PTQ (baseline),finished,2026-04-27T22:59:07Z,20000,1.2094502293132898,1.2094502293132898,1.21715375,1.2171537464472715,15874052.0,15.874052,,,int8_ptq+zlib,15825673.0,,-0.007246253552728454,41,1.2244,[],"[{""method"": ""int8_ptq+zlib"", ""bytes"": 15825673, ""payload"": 17178912, ""raw_torch"": 17223564, ""ratio"": 3.91}]","[{""method"": ""int8_ptq+zlib"", ""bytes"": 15874052}]",[],"[{""method"": ""int8_ptq_zlib"", ""val_loss"": 2.05511312, ""val_bpb"": 1.21715375}]","[{""method"": ""int8_ptq_zlib"", ""val_loss"": 2.0551, ""val_bpb"": 1.2172, ""eval_time_ms"": 25053}]","[{""allocated_mib"": 10286, ""reserved_mib"": 10552}]",17178912.0,17223564.0,3.91,int8_ptq+zlib,int8_ptq_zlib,2.05511312,25053.0,10286.0,10552.0,1.2171537464472717,2.0551131163778997,8.0,20000,2.059932231903076,1.2094502293132898,2.0421060503843895,42,0.6,2,17059912,0.04,512,8,20000,9,8.0,1024,True,4,0.1,524288,,,,,,,,,,,,,,,
o2_learn_20k,o2_learn,O2_posenc,Learned PE,finished,2026-04-20T04:47:36Z,20000,1.2244262334238438,1.2244262334238438,1.23490954,1.2349095429500137,16300555.0,16.300555,OVER,True,,,,0.010509542950013717,41,1.2244,[],[],"[{""method"": ""int8+zlib"", ""bytes"": 16300555}]","[{""limit_bytes"": 16000000, ""status"": ""OVER""}]","[{""method"": ""int8_zlib"", ""val_loss"": 2.08509304, ""val_bpb"": 1.23490954}]","[{""method"": ""int8_zlib"", ""val_loss"": 2.0851, ""val_bpb"": 1.2349, ""eval_time_ms"": 23507}]","[{""allocated_mib"": 9162, ""reserved_mib"": 9386}]",,,,int8+zlib,int8_zlib,2.08509304,23507.0,9162.0,9386.0,1.2349095429500137,2.0850930350126924,,20000,2.083576917648315,1.2244262334238438,2.0673924060057436,1337,0.6,2,17584200,0.04,512,8,20000,9,,1024,,4,,524288,learned,learned,32.0,16000000.0,,,,,,,,,,,
o2_learn_s1337,o2_learn,O2_posenc,Learned PE,finished,2026-04-17T02:28:10Z,5000,1.2728706492005506,1.2728706492005506,1.27910102,1.279101020659638,16266796.0,16.266796,OVER,True,,,,0.05470102065963811,11,1.2244,[],[],"[{""method"": ""int8+zlib"", ""bytes"": 16266796}]","[{""limit_bytes"": 16000000, ""status"": ""OVER""}]","[{""method"": ""int8_zlib"", ""val_loss"": 2.15970849, ""val_bpb"": 1.27910102}]","[{""method"": ""int8_zlib"", ""val_loss"": 2.1597, ""val_bpb"": 1.2791, ""eval_time_ms"": 24421}]","[{""allocated_mib"": 9648, ""reserved_mib"": 9938}]",,,,int8+zlib,int8_zlib,2.15970849,24421.0,9648.0,9938.0,1.279101020659638,2.159708494019625,,5000,2.2253541946411133,1.2728706492005506,2.1491887727906094,1337,0.6,2,17584200,0.04,512,8,5000,9,,1024,,4,,524288,learned,learned,32.0,16000000.0,,,,,,,,,,,
